,Song,lenght,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,tempo,beat,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,genre
72,Virgin_River,11.11075,0.49292406,926.9529613012481,1645.9332138048323,1634.0346089251439,0.09996754,0.016443644283829176,135.99917763157896,0.19128048,-274.15247,158.61276,1.6602082,40.358265,9.033154,2.5996878,6.44134,2.408609,4.1160455,10.70303,-1.210309,-0.9918613,0.02703335,-2.274214,-10.082939,-5.788379,-8.328318,-4.943229,-4.335742,-0.57343817,drama
73,You,7.024041666666666,0.6580264,1238.5795406326665,2170.879407036395,2513.8585925644916,0.092200205,0.015492371253793626,129.19921875,0.22746599,-234.0296,149.61772,-0.62066793,19.803885,-3.0885284,18.658241,3.016308,11.655006,5.0055785,15.781289,12.801037,15.424092,8.244325,6.0891438,-1.3104247,5.091701,0.61208797,3.2873838,1.7382658,1.7815856,drama
74,Young_Sheldon,17.356916666666667,0.44577777,2618.521521777037,2711.14893240865,5246.674408783784,0.041454285,0.06285961254222973,123.046875,0.078750685,-214.34651,84.83548,-33.76526,35.181423,-1.7537646,25.979445,-9.139519,16.040169,-8.501776,10.547139,-5.676899,11.063589,-5.4134073,6.9406133,-6.961332,8.114832,-8.118673,2.3806145,-5.2917457,6.861406,comedy
75,The_Sinner,31.602375,0.27864978,431.6223319623122,873.9236879151771,712.886010799865,0.06537442,0.005222285795646304,135.99917763157896,0.045262843,-400.54865,72.00205,13.742168,8.667027,8.309146,13.990987,3.6827419,6.8359613,-4.5981336,3.2659445,3.8205316,4.5431,0.35443336,3.7977574,-0.07529534,5.183115,6.910319,6.12706,5.370805,5.846184,crime
76,Love_Death_Robots,20.9211875,0.50159913,2120.955311470282,2314.660663965341,3726.944762996942,0.08803277,0.06213913974898063,172.265625,0.13305779,-281.97952,117.14774,-9.192117,9.82453,9.255394,18.875437,0.79338866,5.4981947,-2.285998,7.109073,3.6381624,9.244814,-0.5505012,2.0510278,-3.6524754,1.754987,0.3483516,2.4375768,1.2367758,5.3042393,action
77,Hannibal,20.004,0.36269683,2474.0786449093134,3460.835832249799,5212.18266924307,0.01864025,0.040144214752132194,123.046875,0.08710474,-345.5976,123.25881,-8.963379,15.873064,-6.533505,9.952392,-4.6066585,12.838428,-6.4034944,5.9291754,-8.97183,9.822356,-3.2434886,7.8058167,-5.5758276,3.811703,-4.160431,5.696753,-4.4749036,5.733372,crime
78,Bates_Motel,39.114020833333335,0.51500565,877.3786666499536,1298.2986157198761,1748.5001363512408,0.11784154,0.016036583677052085,92.28515625,0.106946774,-209.54745,167.28778,-17.911648,24.07623,11.745167,3.666655,6.301322,11.414352,8.864103,2.6724968,-4.227026,-3.5052853,0.6844277,-0.043606196,0.70341814,-0.41471675,-4.5007396,-0.47391322,1.0894246,1.0696707,drama
79,Chilling_Adventures_Sabrina,105.023875,0.35641435,1450.7395052798392,2044.0197330170824,2763.73733622791,0.07172391,0.03049947710364615,103.359375,0.11024224,-203.05101,131.12984,-19.162619,20.174377,-0.16096854,8.557452,0.037732787,4.6920247,-5.271267,4.0963783,-2.583531,2.7227936,-1.9499108,2.6731813,-0.81672204,3.097252,0.84997153,0.8716454,-3.9588678,0.24839358,drama
80,Wednesday_Addams,78.16997916666666,0.3942699,1472.4295242055728,2085.106858538039,3018.522308636922,0.076218285,0.02762030279966571,89.10290948275862,0.113708735,-214.53542,116.57309,-9.174442,21.258764,-3.4435692,8.231301,-3.6465633,8.769704,-6.4957886,5.6938043,-5.353009,4.875536,-1.4653748,3.7582252,-3.3408368,3.2461884,-1.6000165,2.8083751,-1.0017545,0.6654689,comedy
81,Godless,69.57860416666666,0.41593486,1820.4453108560542,2637.7770412681275,3940.363665108079,0.10358022,0.02783831909684961,123.046875,0.1803735,-200.72572,96.43438,-5.902867,31.410027,1.567857,18.692005,-10.82243,15.744302,-5.721652,11.815052,-2.7387407,8.832499,-7.1210904,1.9549693,-7.3472247,0.32813632,-5.6036043,7.0133166,-4.810669,-1.2475514,action
82,Cowboy,106.44029166666667,0.46355423,3019.812277965588,3354.456772973772,6308.414858703277,0.060390726,0.06223097802259746,129.19921875,0.080383115,-206.3249,75.17654,-17.836504,32.434895,-5.7252383,14.278219,-7.31783,12.910305,-8.995469,13.611852,-8.335007,9.283499,-7.1531725,6.5424953,-7.141775,4.886055,-7.017783,5.4539137,-3.7803972,6.5025754,action
